1218084.BBJK01000057_gene4392,lolA,Outer-membrane&nbsp;lipoprotein&nbsp;carrier&nbsp;protein,98.9
1218084.BBJK01000007_gene949,BBJK01000007_gene949,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,75.9
1218084.BBJK01000078_gene5443,BBJK01000078_gene5443,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000052_gene4128,BBJK01000052_gene4128,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000072_gene5055,BBJK01000072_gene5055,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,75.9
1218084.BBJK01000081_gene5591,BBJK01000081_gene5591,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000016_gene1810,BBJK01000016_gene1810,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000038_gene3599,BBJK01000038_gene3599,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000135_gene7218,BBJK01000135_gene7218,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000013_gene1361,BBJK01000013_gene1361,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000059_gene4533,BBJK01000059_gene4533,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000037_gene3499,BBJK01000037_gene3499,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000060_gene4626,BBJK01000060_gene4626,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000031_gene2953,BBJK01000031_gene2953,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000042_gene3791,BBJK01000042_gene3791,annotation&nbsp;not&nbsp;available,75.9
1218084.BBJK01000061_gene4736,BBJK01000061_gene4736,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000088_gene5861,BBJK01000088_gene5861,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000007_gene922,BBJK01000007_gene922,Flavin&nbsp;prenyltransferase&nbsp;UbiX,75.8
1218084.BBJK01000104_gene6498,BBJK01000104_gene6498,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000023_gene2402,BBJK01000023_gene2402,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000081_gene5601,BBJK01000081_gene5601,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000046_gene3978,BBJK01000046_gene3978,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000082_gene5609,BBJK01000082_gene5609,annotation&nbsp;not&nbsp;available,75.8
1218084.BBJK01000116_gene6786,cobT,Nicotinate-nucleotide--dimethylbenzimidazole&nbsp;phosphoribosyltransferase,75.8
1218084.BBJK01000188_gene8038,surA,Chaperone&nbsp;SurA,75.7
1218084.BBJK01000060_gene4632,BBJK01000060_gene4632,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000159_gene7711,BBJK01000159_gene7711,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000092_gene6042,BBJK01000092_gene6042,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000083_gene5659,glnE,Bifunctional&nbsp;glutamine&nbsp;synthetase&nbsp;adenylyltransferase/adenylyl-removing&nbsp;enzyme,75.7
1218084.BBJK01000080_gene5545,BBJK01000080_gene5545,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000086_gene5772,BBJK01000086_gene5772,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000013_gene1350,BBJK01000013_gene1350,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000006_gene693,metK,S-adenosylmethionine&nbsp;synthase,75.7
1218084.BBJK01000009_gene1238,BBJK01000009_gene1238,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000116_gene6798,panD,Aspartate&nbsp;1-decarboxylase,75.7
1218084.BBJK01000016_gene1646,BBJK01000016_gene1646,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000028_gene2693,tilS,tRNA(Ile)-lysidine&nbsp;synthase,75.7
1218084.BBJK01000055_gene4297,BBJK01000055_gene4297,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000007_gene1042,BBJK01000007_gene1042,annotation&nbsp;not&nbsp;available,75.7
1218084.BBJK01000101_gene6335,BBJK01000101_gene6335,Ribokinase,75.6
1218084.BBJK01000029_gene2807,BBJK01000029_gene2807,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000120_gene6876,BBJK01000120_gene6876,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000080_gene5532,BBJK01000080_gene5532,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000006_gene791,BBJK01000006_gene791,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000102_gene6398,BBJK01000102_gene6398,30S&nbsp;ribosomal&nbsp;protein&nbsp;S1,75.6
1218084.BBJK01000037_gene3492,BBJK01000037_gene3492,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000019_gene1994,BBJK01000019_gene1994,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000160_gene7726,ureA,annotation&nbsp;not&nbsp;available,75.6
1218084.BBJK01000092_gene6038,BBJK01000092_gene6038,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000100_gene6317,BBJK01000100_gene6317,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000016_gene1657,BBJK01000016_gene1657,Ubiquinol-cytochrome&nbsp;c&nbsp;reductase&nbsp;iron-sulfur&nbsp;subunit,75.5
1218084.BBJK01000137_gene7274,trpA,Tryptophan&nbsp;synthase&nbsp;alpha&nbsp;chain,75.5
1218084.BBJK01000086_gene5808,BBJK01000086_gene5808,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000069_gene4998,BBJK01000069_gene4998,Protein&nbsp;TonB,75.5
1218084.BBJK01000021_gene2222,BBJK01000021_gene2222,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000021_gene2275,BBJK01000021_gene2275,Flagellar&nbsp;transcriptional&nbsp;regulator&nbsp;FlhD,75.5
1218084.BBJK01000073_gene5147,BBJK01000073_gene5147,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000058_gene4428,BBJK01000058_gene4428,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000023_gene2404,BBJK01000023_gene2404,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000044_gene3908,BBJK01000044_gene3908,2-aminoethylphosphonate--pyruvate&nbsp;transaminase,75.5
1218084.BBJK01000060_gene4663,recX,Regulatory&nbsp;protein&nbsp;RecX,75.5
1218084.BBJK01000023_gene2456,BBJK01000023_gene2456,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000048_gene4008,BBJK01000048_gene4008,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000076_gene5284,BBJK01000076_gene5284,annotation&nbsp;not&nbsp;available,75.5
1218084.BBJK01000029_gene2801,BBJK01000029_gene2801,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000207_gene8151,BBJK01000207_gene8151,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000037_gene3473,BBJK01000037_gene3473,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000005_gene665,BBJK01000005_gene665,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000077_gene5327,BBJK01000077_gene5327,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000016_gene1729,BBJK01000016_gene1729,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000029_gene2805,BBJK01000029_gene2805,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000017_gene1950,BBJK01000017_gene1950,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000028_gene2712,BBJK01000028_gene2712,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000045_gene3951,BBJK01000045_gene3951,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000185_gene8009,BBJK01000185_gene8009,annotation&nbsp;not&nbsp;available,75.4
1218084.BBJK01000023_gene2372,BBJK01000023_gene2372,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000055_gene4236,nth,Endonuclease&nbsp;III,75.3
1218084.BBJK01000031_gene2993,BBJK01000031_gene2993,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000078_gene5421,BBJK01000078_gene5421,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000031_gene2998,BBJK01000031_gene2998,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000055_gene4209,BBJK01000055_gene4209,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000094_gene6141,BBJK01000094_gene6141,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000036_gene3382,BBJK01000036_gene3382,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000100_gene6314,BBJK01000100_gene6314,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000059_gene4560,BBJK01000059_gene4560,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000021_gene2173,BBJK01000021_gene2173,annotation&nbsp;not&nbsp;available,75.3
1218084.BBJK01000009_gene1237,BBJK01000009_gene1237,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000013_gene1443,BBJK01000013_gene1443,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000200_gene8115,BBJK01000200_gene8115,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000150_gene7568,BBJK01000150_gene7568,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000097_gene6228,BBJK01000097_gene6228,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000002_gene240,BBJK01000002_gene240,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000037_gene3543,BBJK01000037_gene3543,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000136_gene7252,BBJK01000136_gene7252,annotation&nbsp;not&nbsp;available,75.2
1218084.BBJK01000034_gene3268,BBJK01000034_gene3268,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000166_gene7795,BBJK01000166_gene7795,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000014_gene1507,BBJK01000014_gene1507,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000106_gene6564,BBJK01000106_gene6564,Bifunctional&nbsp;protein&nbsp;FolD,75.1
1218084.BBJK01000073_gene5097,BBJK01000073_gene5097,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000090_gene5981,BBJK01000090_gene5981,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000078_gene5386,BBJK01000078_gene5386,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000169_gene7837,BBJK01000169_gene7837,annotation&nbsp;not&nbsp;available,75.1
1218084.BBJK01000026_gene2586,BBJK01000026_gene2586,annotation&nbsp;not&nbsp;available,75.0
1218084.BBJK01000013_gene1394,BBJK01000013_gene1394,annotation&nbsp;not&nbsp;available,75.0
1218084.BBJK01000075_gene5224,BBJK01000075_gene5224,annotation&nbsp;not&nbsp;available,75.0
1218084.BBJK01000030_gene2864,BBJK01000030_gene2864,annotation&nbsp;not&nbsp;available,75.0
1218084.BBJK01000136_gene7257,BBJK01000136_gene7257,annotation&nbsp;not&nbsp;available,75.0
1218084.BBJK01000058_gene4479,cpoB,Cell&nbsp;division&nbsp;coordinator&nbsp;CpoB,75.0
1218084.BBJK01000017_gene1842,BBJK01000017_gene1842,annotation&nbsp;not&nbsp;available,75.0
1218084.BBJK01000146_gene7463,BBJK01000146_gene7463,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000036_gene3333,BBJK01000036_gene3333,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000005_gene638,BBJK01000005_gene638,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000098_gene6232,BBJK01000098_gene6232,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000086_gene5810,BBJK01000086_gene5810,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000025_gene2519,BBJK01000025_gene2519,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000006_gene761,BBJK01000006_gene761,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000023_gene2313,BBJK01000023_gene2313,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000072_gene5070,BBJK01000072_gene5070,Sensor&nbsp;protein,74.9
1218084.BBJK01000129_gene7116,BBJK01000129_gene7116,annotation&nbsp;not&nbsp;available,74.9
1218084.BBJK01000191_gene8055,BBJK01000191_gene8055,annotation&nbsp;not&nbsp;available,74.8
1218084.BBJK01000023_gene2334,BBJK01000023_gene2334,annotation&nbsp;not&nbsp;available,74.8
1218084.BBJK01000076_gene5299,BBJK01000076_gene5299,annotation&nbsp;not&nbsp;available,74.8
1218084.BBJK01000101_gene6351,BBJK01000101_gene6351,annotation&nbsp;not&nbsp;available,74.8
1218084.BBJK01000003_gene538,BBJK01000003_gene538,annotation&nbsp;not&nbsp;available,74.8
1218084.BBJK01000025_gene2514,BBJK01000025_gene2514,Acyl&nbsp;carrier&nbsp;protein,74.8
1218084.BBJK01000015_gene1521,BBJK01000015_gene1521,Non-homologous&nbsp;end&nbsp;joining&nbsp;protein&nbsp;Ku,74.8
1218084.BBJK01000002_gene294,BBJK01000002_gene294,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000014_gene1476,BBJK01000014_gene1476,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000090_gene5983,BBJK01000090_gene5983,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000110_gene6681,BBJK01000110_gene6681,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000080_gene5527,BBJK01000080_gene5527,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000009_gene1235,BBJK01000009_gene1235,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000055_gene4264,BBJK01000055_gene4264,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000093_gene6051,BBJK01000093_gene6051,annotation&nbsp;not&nbsp;available,74.7
1218084.BBJK01000103_gene6436,BBJK01000103_gene6436,Flagellar&nbsp;L-ring&nbsp;protein,74.6
1218084.BBJK01000171_gene7868,polA,DNA&nbsp;polymerase&nbsp;I,74.6
1218084.BBJK01000012_gene1308,BBJK01000012_gene1308,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000013_gene1459,BBJK01000013_gene1459,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000044_gene3862,BBJK01000044_gene3862,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000075_gene5227,BBJK01000075_gene5227,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000032_gene3052,ftsZ,Cell&nbsp;division&nbsp;protein&nbsp;FtsZ,74.6
1218084.BBJK01000007_gene1051,BBJK01000007_gene1051,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000146_gene7445,BBJK01000146_gene7445,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000120_gene6879,BBJK01000120_gene6879,annotation&nbsp;not&nbsp;available,74.6
1218084.BBJK01000064_gene4836,BBJK01000064_gene4836,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000156_gene7689,kdpA,Potassium-transporting&nbsp;ATPase&nbsp;potassium-binding&nbsp;subunit,74.5
1218084.BBJK01000090_gene5959,BBJK01000090_gene5959,Cytochrome&nbsp;b,74.5
1218084.BBJK01000003_gene376,BBJK01000003_gene376,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000006_gene872,BBJK01000006_gene872,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000029_gene2793,BBJK01000029_gene2793,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000058_gene4455,BBJK01000058_gene4455,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000107_gene6605,BBJK01000107_gene6605,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000177_gene7951,BBJK01000177_gene7951,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000021_gene2209,BBJK01000021_gene2209,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000058_gene4497,BBJK01000058_gene4497,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000017_gene1947,BBJK01000017_gene1947,annotation&nbsp;not&nbsp;available,74.5
1218084.BBJK01000006_gene708,BBJK01000006_gene708,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000169_gene7833,BBJK01000169_gene7833,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000017_gene1912,BBJK01000017_gene1912,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000034_gene3205,BBJK01000034_gene3205,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000028_gene2721,BBJK01000028_gene2721,Alanine&nbsp;racemase,74.4
1218084.BBJK01000031_gene2965,BBJK01000031_gene2965,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000147_gene7496,BBJK01000147_gene7496,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000008_gene1190,BBJK01000008_gene1190,annotation&nbsp;not&nbsp;available,74.4
1218084.BBJK01000079_gene5485,BBJK01000079_gene5485,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000063_gene4779,BBJK01000063_gene4779,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000072_gene5037,BBJK01000072_gene5037,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000026_gene2581,BBJK01000026_gene2581,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000006_gene897,BBJK01000006_gene897,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000021_gene2186,BBJK01000021_gene2186,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000125_gene7041,dnaX,DNA&nbsp;polymerase&nbsp;III&nbsp;subunit&nbsp;gamma/tau,74.3
1218084.BBJK01000093_gene6080,BBJK01000093_gene6080,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000048_gene4022,BBJK01000048_gene4022,annotation&nbsp;not&nbsp;available,74.3
1218084.BBJK01000028_gene2753,lpxD,UDP-3-O-acylglucosamine&nbsp;N-acyltransferase,74.2
1218084.BBJK01000031_gene3020,BBJK01000031_gene3020,annotation&nbsp;not&nbsp;available,74.2
1218084.BBJK01000059_gene4590,BBJK01000059_gene4590,annotation&nbsp;not&nbsp;available,74.2
1218084.BBJK01000028_gene2760,BBJK01000028_gene2760,Phosphoenolpyruvate&nbsp;synthase,74.2
1218084.BBJK01000089_gene5908,BBJK01000089_gene5908,annotation&nbsp;not&nbsp;available,74.2
1218084.BBJK01000083_gene5682,secD,Protein&nbsp;translocase&nbsp;subunit&nbsp;SecD,74.2
1218084.BBJK01000003_gene319,BBJK01000003_gene319,annotation&nbsp;not&nbsp;available,74.1
1218084.BBJK01000152_gene7612,BBJK01000152_gene7612,annotation&nbsp;not&nbsp;available,74.1
1218084.BBJK01000086_gene5769,BBJK01000086_gene5769,annotation&nbsp;not&nbsp;available,74.1
1218084.BBJK01000021_gene2178,BBJK01000021_gene2178,Deoxyribose-phosphate&nbsp;aldolase,74.1
1218084.BBJK01000066_gene4868,BBJK01000066_gene4868,annotation&nbsp;not&nbsp;available,74.1
1218084.BBJK01000007_gene958,BBJK01000007_gene958,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000094_gene6126,BBJK01000094_gene6126,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000013_gene1353,BBJK01000013_gene1353,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000031_gene3023,BBJK01000031_gene3023,Alpha-D-ribose&nbsp;1-methylphosphonate&nbsp;5-phosphate&nbsp;C-P&nbsp;lyase,74.0
1218084.BBJK01000038_gene3549,BBJK01000038_gene3549,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000092_gene6035,BBJK01000092_gene6035,Serine&nbsp;hydroxymethyltransferase,74.0
1218084.BBJK01000032_gene3145,BBJK01000032_gene3145,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000025_gene2513,BBJK01000025_gene2513,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000031_gene2908,BBJK01000031_gene2908,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000147_gene7477,BBJK01000147_gene7477,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000152_gene7601,BBJK01000152_gene7601,annotation&nbsp;not&nbsp;available,74.0
1218084.BBJK01000008_gene1169,BBJK01000008_gene1169,annotation&nbsp;not&nbsp;available,73.9
1218084.BBJK01000103_gene6485,rplX,50S&nbsp;ribosomal&nbsp;protein&nbsp;L24,73.9
1218084.BBJK01000007_gene918,BBJK01000007_gene918,annotation&nbsp;not&nbsp;available,73.9
1218084.BBJK01000023_gene2392,BBJK01000023_gene2392,annotation&nbsp;not&nbsp;available,73.9
1218084.BBJK01000013_gene1372,BBJK01000013_gene1372,annotation&nbsp;not&nbsp;available,73.9
1218084.BBJK01000147_gene7484,BBJK01000147_gene7484,annotation&nbsp;not&nbsp;available,73.9
1218084.BBJK01000146_gene7460,BBJK01000146_gene7460,annotation&nbsp;not&nbsp;available,73.9
1218084.BBJK01000130_gene7117,BBJK01000130_gene7117,2-aminoethylphosphonate--pyruvate&nbsp;transaminase,73.8
1218084.BBJK01000196_gene8091,BBJK01000196_gene8091,annotation&nbsp;not&nbsp;available,73.8
1218084.BBJK01000064_gene4808,BBJK01000064_gene4808,annotation&nbsp;not&nbsp;available,73.8
1218084.BBJK01000075_gene5193,BBJK01000075_gene5193,annotation&nbsp;not&nbsp;available,73.8
1218084.BBJK01000001_gene55,BBJK01000001_gene55,annotation&nbsp;not&nbsp;available,73.8
1218084.BBJK01000142_gene7382,BBJK01000142_gene7382,annotation&nbsp;not&nbsp;available,73.8
1218084.BBJK01000081_gene5604,BBJK01000081_gene5604,annotation&nbsp;not&nbsp;available,73.8
1218084.BBJK01000032_gene3081,BBJK01000032_gene3081,Ribonucleoside-diphosphate&nbsp;reductase&nbsp;subunit&nbsp;beta,73.8
1218084.BBJK01000021_gene2218,BBJK01000021_gene2218,annotation&nbsp;not&nbsp;available,73.7
1218084.BBJK01000126_gene7066,BBJK01000126_gene7066,annotation&nbsp;not&nbsp;available,73.7
1218084.BBJK01000032_gene3127,BBJK01000032_gene3127,annotation&nbsp;not&nbsp;available,73.7
1218084.BBJK01000030_gene2827,BBJK01000030_gene2827,annotation&nbsp;not&nbsp;available,73.7
1218084.BBJK01000078_gene5414,plsY,Glycerol-3-phosphate&nbsp;acyltransferase,73.7
1218084.BBJK01000007_gene992,BBJK01000007_gene992,annotation&nbsp;not&nbsp;available,73.7
1218084.BBJK01000193_gene8071,BBJK01000193_gene8071,annotation&nbsp;not&nbsp;available,73.7
1218084.BBJK01000133_gene7185,BBJK01000133_gene7185,annotation&nbsp;not&nbsp;available,73.6
1218084.BBJK01000001_gene41,BBJK01000001_gene41,annotation&nbsp;not&nbsp;available,73.6
1218084.BBJK01000085_gene5755,BBJK01000085_gene5755,annotation&nbsp;not&nbsp;available,73.6
1218084.BBJK01000016_gene1636,BBJK01000016_gene1636,annotation&nbsp;not&nbsp;available,73.6
1218084.BBJK01000055_gene4277,BBJK01000055_gene4277,Trehalose-6-phosphate&nbsp;synthase,73.6
1218084.BBJK01000028_gene2735,BBJK01000028_gene2735,Cell&nbsp;division&nbsp;protein&nbsp;ZipA,73.6
1218084.BBJK01000031_gene2956,BBJK01000031_gene2956,"Alpha-1,4&nbsp;glucan&nbsp;phosphorylase",73.6
1218084.BBJK01000019_gene2025,BBJK01000019_gene2025,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000148_gene7516,BBJK01000148_gene7516,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000076_gene5258,BBJK01000076_gene5258,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000141_gene7323,BBJK01000141_gene7323,Flagellar&nbsp;biosynthetic&nbsp;protein&nbsp;FliR,73.5
1218084.BBJK01000050_gene4081,BBJK01000050_gene4081,LPS-assembly&nbsp;protein&nbsp;LptD,73.5
1218084.BBJK01000095_gene6170,BBJK01000095_gene6170,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000110_gene6696,BBJK01000110_gene6696,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000017_gene1921,BBJK01000017_gene1921,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000031_gene2887,BBJK01000031_gene2887,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000039_gene3661,BBJK01000039_gene3661,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000142_gene7365,BBJK01000142_gene7365,annotation&nbsp;not&nbsp;available,73.5
1218084.BBJK01000163_gene7751,rplJ,50S&nbsp;ribosomal&nbsp;protein&nbsp;L10,73.4
1218084.BBJK01000103_gene6491,rplV,50S&nbsp;ribosomal&nbsp;protein&nbsp;L22,73.4
1218084.BBJK01000095_gene6187,BBJK01000095_gene6187,annotation&nbsp;not&nbsp;available,73.4
1218084.BBJK01000149_gene7537,BBJK01000149_gene7537,Sensor&nbsp;protein,73.4
1218084.BBJK01000020_gene2100,BBJK01000020_gene2100,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,73.4
1218084.BBJK01000016_gene1770,BBJK01000016_gene1770,annotation&nbsp;not&nbsp;available,73.4
1218084.BBJK01000076_gene5278,ahpD,Alkyl&nbsp;hydroperoxide&nbsp;reductase&nbsp;AhpD,73.4
1218084.BBJK01000130_gene7132,BBJK01000130_gene7132,annotation&nbsp;not&nbsp;available,73.4
1218084.BBJK01000023_gene2364,BBJK01000023_gene2364,annotation&nbsp;not&nbsp;available,73.3
1218084.BBJK01000110_gene6683,BBJK01000110_gene6683,annotation&nbsp;not&nbsp;available,73.3
1218084.BBJK01000015_gene1586,BBJK01000015_gene1586,annotation&nbsp;not&nbsp;available,73.3
1218084.BBJK01000043_gene3829,BBJK01000043_gene3829,annotation&nbsp;not&nbsp;available,73.3
1218084.BBJK01000104_gene6499,BBJK01000104_gene6499,annotation&nbsp;not&nbsp;available,73.3
1218084.BBJK01000003_gene361,BBJK01000003_gene361,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000055_gene4263,parE,DNA&nbsp;topoisomerase&nbsp;4&nbsp;subunit&nbsp;B,73.2
1218084.BBJK01000072_gene5039,BBJK01000072_gene5039,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000057_gene4401,BBJK01000057_gene4401,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000003_gene333,BBJK01000003_gene333,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000008_gene1203,BBJK01000008_gene1203,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000059_gene4570,BBJK01000059_gene4570,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000015_gene1511,BBJK01000015_gene1511,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000012_gene1302,BBJK01000012_gene1302,annotation&nbsp;not&nbsp;available,73.2
1218084.BBJK01000198_gene8106,BBJK01000198_gene8106,annotation&nbsp;not&nbsp;available,73.1
1218084.BBJK01000149_gene7534,BBJK01000149_gene7534,annotation&nbsp;not&nbsp;available,73.1
1218084.BBJK01000006_gene717,BBJK01000006_gene717,annotation&nbsp;not&nbsp;available,73.1
1218084.BBJK01000059_gene4517,BBJK01000059_gene4517,annotation&nbsp;not&nbsp;available,73.1
1218084.BBJK01000173_gene7897,BBJK01000173_gene7897,annotation&nbsp;not&nbsp;available,73.1
